Time,Rate,RR,,
4/8/2020 15:38,95,691,,
4/8/2020 15:38,95,691,,
4/8/2020 15:38,95,638,,88.27629513
4/8/2020 15:38,94,662,,677.7409733
4/8/2020 15:38,94,660,,
4/8/2020 15:38,94,660,,
4/8/2020 15:38,93,664,,
4/8/2020 15:38,93,680,,
4/8/2020 15:38,93,664,,
4/8/2020 15:38,92,664,,
4/8/2020 15:38,92,668,,
4/8/2020 15:38,92,633,,
4/8/2020 15:38,92,648,,
4/8/2020 15:38,91,648,,
4/8/2020 15:38,91,667,,
4/8/2020 15:38,91,697,,
4/8/2020 15:38,91,664,,
4/8/2020 15:38,91,664,,
4/8/2020 15:38,91,653,,
4/8/2020 15:38,90,665,,
4/8/2020 15:38,90,687,,
4/8/2020 15:38,90,687,,
4/8/2020 15:38,90,678,,
4/8/2020 15:38,90,636,,
4/8/2020 15:38,90,642,,
4/8/2020 15:38,90,642,,
4/8/2020 15:38,90,670,,
4/8/2020 15:39,90,671,,
4/8/2020 15:39,90,664,,
4/8/2020 15:39,90,664,,
4/8/2020 15:39,89,688,,
4/8/2020 15:39,89,722,,
4/8/2020 15:39,89,714,,
4/8/2020 15:39,89,714,,
4/8/2020 15:39,89,674,,
4/8/2020 15:39,88,671,,
4/8/2020 15:39,88,671,,
4/8/2020 15:39,88,686,,
4/8/2020 15:39,88,691,,
4/8/2020 15:39,88,672,,
4/8/2020 15:39,88,672,,
4/8/2020 15:39,88,673,,
4/8/2020 15:39,87,699,,
4/8/2020 15:39,87,684,,
4/8/2020 15:39,87,684,,
4/8/2020 15:39,87,667,,
4/8/2020 15:39,87,661,,
4/8/2020 15:39,87,684,,
4/8/2020 15:39,87,684,,
4/8/2020 15:39,88,680,,
4/8/2020 15:39,88,666,,
4/8/2020 15:39,88,666,,
4/8/2020 15:39,88,666,,
4/8/2020 15:39,88,663,,
4/8/2020 15:39,88,688,,
4/8/2020 15:39,88,688,,
4/8/2020 15:39,88,671,,
4/8/2020 15:39,88,688,,
4/8/2020 15:39,88,717,,
4/8/2020 15:39,88,717,,
4/8/2020 15:39,88,746,,
4/8/2020 15:39,87,693,,
4/8/2020 15:39,87,693,,
4/8/2020 15:39,87,686,,
4/8/2020 15:39,87,684,,
4/8/2020 15:39,87,654,,
4/8/2020 15:39,87,654,,
4/8/2020 15:39,87,687,,
4/8/2020 15:39,87,718,,
4/8/2020 15:39,87,669,,
4/8/2020 15:39,87,669,,
4/8/2020 15:39,87,657,,
4/8/2020 15:39,87,664,,
4/8/2020 15:39,87,643,,
4/8/2020 15:39,87,643,,
4/8/2020 15:39,88,651,,
4/8/2020 15:39,88,677,,
4/8/2020 15:39,88,678,,
4/8/2020 15:39,88,678,,
4/8/2020 15:39,88,673,,
4/8/2020 15:39,88,648,,
4/8/2020 15:39,89,678,,
4/8/2020 15:39,89,678,,
4/8/2020 15:39,89,687,,
4/8/2020 15:39,89,677,,
4/8/2020 15:39,89,682,,
4/8/2020 15:39,89,682,,
4/8/2020 15:39,89,694,,
4/8/2020 15:39,88,724,,
4/8/2020 15:39,88,724,,
4/8/2020 15:39,88,709,,
4/8/2020 15:39,88,677,,
4/8/2020 15:39,88,678,,
4/8/2020 15:39,87,678,,
4/8/2020 15:39,87,662,,
4/8/2020 15:39,87,673,,
4/8/2020 15:39,87,669,,
4/8/2020 15:39,88,669,,
4/8/2020 15:39,88,650,,
4/8/2020 15:39,88,686,,
4/8/2020 15:39,88,686,,
4/8/2020 15:39,88,715,,
4/8/2020 15:39,88,720,,
4/8/2020 15:39,87,656,,
4/8/2020 15:39,88,656,,
4/8/2020 15:39,87,658,,
4/8/2020 15:39,88,678,,
4/8/2020 15:39,88,677,,
4/8/2020 15:39,88,677,,
4/8/2020 15:39,88,648,,
4/8/2020 15:39,88,663,,
4/8/2020 15:39,88,675,,
4/8/2020 15:39,88,675,,
4/8/2020 15:39,88,661,,
4/8/2020 15:39,89,644,,
4/8/2020 15:39,89,661,,
4/8/2020 15:39,89,661,,
4/8/2020 15:39,89,673,,
4/8/2020 15:39,89,664,,
4/8/2020 15:39,89,646,,
4/8/2020 15:39,90,658,,
4/8/2020 15:39,90,658,,
4/8/2020 15:39,90,669,,
4/8/2020 15:39,90,634,,
4/8/2020 15:39,90,642,,
4/8/2020 15:39,90,642,,
4/8/2020 15:39,90,662,,
4/8/2020 15:39,91,680,,
4/8/2020 15:39,90,663,,
4/8/2020 15:39,90,663,,
