Time,Rate,RR
4/8/2020 17:56,98,638
4/8/2020 17:56,97,635
4/8/2020 17:56,97,645
4/8/2020 17:56,97,645
4/8/2020 17:56,97,621
4/8/2020 17:56,97,654
4/8/2020 17:56,96,632
4/8/2020 17:56,96,632
4/8/2020 17:56,95,654
4/8/2020 17:56,95,665
4/8/2020 17:56,95,667
4/8/2020 17:56,95,654
4/8/2020 17:56,94,654
4/8/2020 17:56,94,660
4/8/2020 17:56,93,661
4/8/2020 17:56,93,730
4/8/2020 17:56,92,730
4/8/2020 17:56,92,575
4/8/2020 17:56,92,630
4/8/2020 17:56,92,738
4/8/2020 17:56,92,738
4/8/2020 17:56,92,716
4/8/2020 17:56,91,716
4/8/2020 17:56,91,858
4/8/2020 17:56,91,628
4/8/2020 17:56,90,601
4/8/2020 17:56,90,648
4/8/2020 17:56,90,648
4/8/2020 17:56,90,686
4/8/2020 17:56,89,691
4/8/2020 17:56,89,691
4/8/2020 17:56,89,729
4/8/2020 17:56,89,697
4/8/2020 17:56,88,672
4/8/2020 17:56,88,672
4/8/2020 17:56,88,682
4/8/2020 17:56,88,682
4/8/2020 17:56,87,661
4/8/2020 17:56,87,661
4/8/2020 17:56,88,646
4/8/2020 17:56,88,656
4/8/2020 17:56,88,660
4/8/2020 17:56,88,660
4/8/2020 17:56,88,652
4/8/2020 17:56,89,697
4/8/2020 17:56,89,624
4/8/2020 17:56,89,691
4/8/2020 17:56,89,691
4/8/2020 17:56,90,584
4/8/2020 17:56,90,671
4/8/2020 17:56,90,625
4/8/2020 17:56,90,625
4/8/2020 17:56,91,611
4/8/2020 17:56,91,645
4/8/2020 17:56,91,661
4/8/2020 17:56,92,661
4/8/2020 17:56,92,672
4/8/2020 17:56,92,696
4/8/2020 17:56,92,670
4/8/2020 17:56,91,670
4/8/2020 17:56,91,688
4/8/2020 17:56,91,687
4/8/2020 17:56,91,654
4/8/2020 17:56,90,654
4/8/2020 17:56,90,662
4/8/2020 17:56,90,652
4/8/2020 17:56,90,654
4/8/2020 17:56,90,654
4/8/2020 17:56,90,670
4/8/2020 17:56,90,629
4/8/2020 17:56,90,710
4/8/2020 17:56,90,710
4/8/2020 17:56,90,653
4/8/2020 17:56,90,652
4/8/2020 17:56,90,665
4/8/2020 17:56,90,665
4/8/2020 17:56,90,648
4/8/2020 17:56,90,666
4/8/2020 17:56,90,652
4/8/2020 17:56,90,639
4/8/2020 17:56,90,639
4/8/2020 17:57,90,655
4/8/2020 17:57,90,643
4/8/2020 17:57,91,625
4/8/2020 17:57,91,624
4/8/2020 17:57,91,624
4/8/2020 17:57,92,605
4/8/2020 17:57,92,606
4/8/2020 17:57,93,617
4/8/2020 17:57,93,616
4/8/2020 17:57,93,616
4/8/2020 17:57,94,615
4/8/2020 17:57,94,645
4/8/2020 17:57,94,661
4/8/2020 17:57,94,661
4/8/2020 17:57,94,665
4/8/2020 17:57,94,664
4/8/2020 17:57,94,652
4/8/2020 17:57,93,652
4/8/2020 17:57,93,665
4/8/2020 17:57,93,670
4/8/2020 17:57,93,670
4/8/2020 17:57,92,670
4/8/2020 17:57,92,634
4/8/2020 17:57,92,653
4/8/2020 17:57,92,668
4/8/2020 17:57,92,661
4/8/2020 17:57,91,661
4/8/2020 17:57,91,622
4/8/2020 17:57,91,668
4/8/2020 17:57,91,686
4/8/2020 17:57,91,686
4/8/2020 17:57,91,659
4/8/2020 17:57,91,658
4/8/2020 17:57,91,653
4/8/2020 17:57,91,653
4/8/2020 17:57,91,674
4/8/2020 17:57,90,662
4/8/2020 17:57,90,659
4/8/2020 17:57,90,659
4/8/2020 17:57,90,660
4/8/2020 17:57,90,650
4/8/2020 17:57,90,654
4/8/2020 17:57,90,654
4/8/2020 17:57,90,661
4/8/2020 17:57,91,657
4/8/2020 17:57,90,649
4/8/2020 17:57,91,649
4/8/2020 17:57,90,667
4/8/2020 17:57,91,645
4/8/2020 17:57,91,673
4/8/2020 17:57,91,673
4/8/2020 17:57,91,661
4/8/2020 17:57,91,656
4/8/2020 17:57,90,682
4/8/2020 17:57,90,682
4/8/2020 17:57,90,669
4/8/2020 17:57,90,615
4/8/2020 17:57,90,745
4/8/2020 17:57,90,745
4/8/2020 17:57,90,625
4/8/2020 17:57,90,635
4/8/2020 17:57,90,624
4/8/2020 17:57,91,633
4/8/2020 17:57,91,633
4/8/2020 17:57,91,626
4/8/2020 17:57,91,652
4/8/2020 17:57,91,690
4/8/2020 17:57,91,690
4/8/2020 17:57,91,667
4/8/2020 17:57,91,688
4/8/2020 17:57,91,704
4/8/2020 17:57,91,704
4/8/2020 17:57,90,657
4/8/2020 17:57,90,673
4/8/2020 17:57,90,663
4/8/2020 17:57,90,663
4/8/2020 17:57,90,640
4/8/2020 17:57,90,624
4/8/2020 17:57,90,646
4/8/2020 17:57,91,624
4/8/2020 17:57,91,624
4/8/2020 17:57,91,640
4/8/2020 17:57,91,652
4/8/2020 17:57,91,663
4/8/2020 17:57,91,663
4/8/2020 17:57,91,651
4/8/2020 17:57,91,702
4/8/2020 17:57,91,702
4/8/2020 17:57,91,683
4/8/2020 17:57,91,687
4/8/2020 17:57,90,684
4/8/2020 17:57,90,684
4/8/2020 17:57,90,677
4/8/2020 17:57,90,675
4/8/2020 17:57,90,640
4/8/2020 17:57,90,640
4/8/2020 17:57,89,663
4/8/2020 17:57,90,663
4/8/2020 17:57,90,637
4/8/2020 17:57,90,651
4/8/2020 17:57,90,651
4/8/2020 17:57,90,651
4/8/2020 17:57,90,655
4/8/2020 17:57,90,656
4/8/2020 17:57,91,635
4/8/2020 17:57,90,635
4/8/2020 17:57,91,685
4/8/2020 17:57,91,598
4/8/2020 17:57,91,632
4/8/2020 17:57,92,558
