Time,Raate,RR,,
4/7/2020 23:35,81,725,,
4/7/2020 23:35,81,725,,
4/7/2020 23:35,80,791,,
4/7/2020 23:35,80,791,,82.83157895
4/7/2020 23:35,80,807,,817.6842105
4/7/2020 23:35,80,833,,
4/7/2020 23:35,80,833,,
4/7/2020 23:35,80,806,,
4/7/2020 23:35,80,806,,
4/7/2020 23:35,79,801,,
4/7/2020 23:35,79,735,,
4/7/2020 23:35,79,786,,
4/7/2020 23:35,79,735,,
4/7/2020 23:35,79,719,,
4/7/2020 23:35,80,700,,
4/7/2020 23:35,80,757,,
4/7/2020 23:35,80,757,,
4/7/2020 23:35,81,763,,
4/7/2020 23:35,81,763,,
4/7/2020 23:35,81,1013,,
4/7/2020 23:35,81,504,,
4/7/2020 23:35,81,504,,
4/7/2020 23:35,80,763,,
4/7/2020 23:35,80,685,,
4/7/2020 23:35,80,685,,
4/7/2020 23:35,80,685,,
4/7/2020 23:35,80,919,,
4/7/2020 23:35,81,961,,
4/7/2020 23:35,81,846,,
4/7/2020 23:35,81,846,,
4/7/2020 23:35,81,846,,
4/7/2020 23:35,81,929,,
4/7/2020 23:35,81,772,,
4/7/2020 23:35,81,421,,
4/7/2020 23:35,81,847,,
4/7/2020 23:35,82,847,,
4/7/2020 23:35,82,761,,
4/7/2020 23:35,82,649,,
4/7/2020 23:35,83,649,,
4/7/2020 23:36,83,632,,
4/7/2020 23:36,83,632,,
4/7/2020 23:36,84,822,,
4/7/2020 23:36,83,822,,
4/7/2020 23:36,84,822,,
4/7/2020 23:36,84,822,,
4/7/2020 23:36,85,822,,
4/7/2020 23:36,85,822,,
4/7/2020 23:36,85,924,,
4/7/2020 23:36,86,1009,,
4/7/2020 23:36,87,1009,,
4/7/2020 23:36,87,665,,
4/7/2020 23:36,88,1070,,
4/7/2020 23:36,87,1070,,
4/7/2020 23:36,87,958,,
4/7/2020 23:36,87,958,,
4/7/2020 23:36,87,737,,
4/7/2020 23:36,87,563,,
4/7/2020 23:36,87,499,,
4/7/2020 23:36,87,480,,
4/7/2020 23:36,87,500,,
4/7/2020 23:36,87,650,,
4/7/2020 23:36,86,800,,
4/7/2020 23:36,86,900,,
4/7/2020 23:36,86,950,,
4/7/2020 23:36,86,1032,,
4/7/2020 23:36,86,1411,,
4/7/2020 23:36,86,1411,,
4/7/2020 23:36,86,1411,,
4/7/2020 23:36,86,1231,,
4/7/2020 23:36,85,1231,,
4/7/2020 23:36,85,1231,,
4/7/2020 23:36,84,1100,,
4/7/2020 23:36,84,900,,
4/7/2020 23:36,84,957,,
4/7/2020 23:36,84,957,,
4/7/2020 23:36,84,881,,
4/7/2020 23:36,84,870,,
4/7/2020 23:36,83,618,,
4/7/2020 23:36,83,618,,
4/7/2020 23:36,82,574,,
4/7/2020 23:36,82,698,,
4/7/2020 23:36,83,729,,
4/7/2020 23:36,82,729,,
4/7/2020 23:36,81,732,,
4/7/2020 23:36,81,732,,
4/7/2020 23:36,81,910,,
4/7/2020 23:36,82,850,,
4/7/2020 23:36,83,810,,
4/7/2020 23:36,84,790,,
4/7/2020 23:36,84,700,,
4/7/2020 23:36,84,782,,
4/7/2020 23:36,82,782,,
4/7/2020 23:36,82,800,,
4/7/2020 23:36,81,750,,
4/7/2020 23:36,81,750,,
