Time,Rate,RR,
4/8/2020 14:00,85,714,
4/8/2020 14:00,84,745,
4/8/2020 14:00,85,693,85.09350649
4/8/2020 14:00,84,730,704
4/8/2020 14:00,84,730,
4/8/2020 14:00,84,641,
4/8/2020 14:01,84,925,
4/8/2020 14:01,83,925,
4/8/2020 14:01,83,649,
4/8/2020 14:01,83,721,
4/8/2020 14:01,83,721,
4/8/2020 14:01,83,738,
4/8/2020 14:01,83,737,
4/8/2020 14:01,82,737,
4/8/2020 14:01,82,711,
4/8/2020 14:01,82,724,
4/8/2020 14:01,82,724,
4/8/2020 14:01,82,705,
4/8/2020 14:01,83,693,
4/8/2020 14:01,83,714,
4/8/2020 14:01,83,714,
4/8/2020 14:01,83,729,
4/8/2020 14:01,83,707,
4/8/2020 14:01,83,701,
4/8/2020 14:01,83,701,
4/8/2020 14:01,84,634,
4/8/2020 14:01,84,695,
4/8/2020 14:01,84,695,
4/8/2020 14:01,84,677,
4/8/2020 14:01,85,657,
4/8/2020 14:01,85,684,
4/8/2020 14:01,86,630,
4/8/2020 14:01,86,630,
4/8/2020 14:01,87,650,
4/8/2020 14:01,87,646,
4/8/2020 14:01,88,656,
4/8/2020 14:01,88,656,
4/8/2020 14:01,89,660,
4/8/2020 14:01,89,699,
4/8/2020 14:01,89,699,
4/8/2020 14:01,89,723,
4/8/2020 14:01,88,720,
4/8/2020 14:01,88,720,
4/8/2020 14:01,88,684,
4/8/2020 14:01,87,742,
4/8/2020 14:01,87,742,
4/8/2020 14:01,86,778,
4/8/2020 14:01,86,774,
4/8/2020 14:01,86,774,
4/8/2020 14:01,85,700,
4/8/2020 14:01,85,745,
4/8/2020 14:01,84,723,
4/8/2020 14:01,84,723,
4/8/2020 14:01,84,757,
4/8/2020 14:01,84,559,
4/8/2020 14:01,84,559,
4/8/2020 14:01,84,780,
4/8/2020 14:01,83,787,
4/8/2020 14:01,83,787,
4/8/2020 14:01,83,702,
4/8/2020 14:01,83,666,
4/8/2020 14:01,83,722,
4/8/2020 14:01,83,722,
4/8/2020 14:01,83,777,
4/8/2020 14:01,83,696,
4/8/2020 14:01,83,696,
4/8/2020 14:01,83,706,
4/8/2020 14:01,83,744,
4/8/2020 14:01,83,744,
4/8/2020 14:01,83,551,
4/8/2020 14:01,83,835,
4/8/2020 14:01,83,691,
4/8/2020 14:01,83,691,
4/8/2020 14:01,84,713,
4/8/2020 14:01,84,643,
4/8/2020 14:01,84,641,
4/8/2020 14:01,85,641,
4/8/2020 14:01,85,671,
4/8/2020 14:01,85,689,
4/8/2020 14:01,85,689,
4/8/2020 14:01,85,807,
4/8/2020 14:01,85,775,
4/8/2020 14:01,85,775,
4/8/2020 14:01,84,778,
4/8/2020 14:01,84,700,
4/8/2020 14:01,84,700,
4/8/2020 14:01,83,756,
4/8/2020 14:01,83,724,
4/8/2020 14:01,82,724,
4/8/2020 14:01,82,748,
4/8/2020 14:01,82,702,
4/8/2020 14:01,82,689,
4/8/2020 14:01,82,689,
4/8/2020 14:01,83,663,
4/8/2020 14:01,83,699,
4/8/2020 14:01,83,699,
4/8/2020 14:01,83,701,
4/8/2020 14:01,84,689,
4/8/2020 14:01,84,712,
4/8/2020 14:01,84,712,
4/8/2020 14:01,84,740,
4/8/2020 14:01,84,757,
4/8/2020 14:01,84,757,
4/8/2020 14:01,84,719,
4/8/2020 14:01,84,733,
4/8/2020 14:01,84,733,
4/8/2020 14:01,83,726,
4/8/2020 14:01,83,717,
4/8/2020 14:01,83,717,
4/8/2020 14:01,83,734,
4/8/2020 14:01,83,660,
4/8/2020 14:01,83,705,
4/8/2020 14:01,83,705,
